id,link,coordinates,address,stars
1347737832,https://yandex.ru/maps/org/ozon/1347737832/,"30.320252,59.962266","Большая Монетная ул., 16",4.7
13851635604,https://yandex.ru/maps/org/ozon/13851635604/,"30.317793,59.928854","Спасский пер., 5",4.0
39673708169,https://yandex.ru/maps/org/ozon/39673708169/,"30.336890,59.934725","Малая Садовая ул., 3/54, подъезд 8",4.0
78580824462,https://yandex.ru/maps/org/ozon/78580824462/,"30.353562,59.930185","ул. Марата, 5, этаж 2",4.2
129607274504,https://yandex.ru/maps/org/ozon/129607274504/,"30.311988,59.927947","Гражданская ул., 17/8",4.4
220832692068,https://yandex.ru/maps/org/ozon/220832692068/,"30.307799,59.921963","Вознесенский просп., 45, Санкт-Петербург",4.8
227211064249,https://yandex.ru/maps/org/ozon/227211064249/,"30.260979,59.943829","16-я линия Васильевского острова, 73/49Б",3.9
72328835046,https://yandex.ru/maps/org/ozon/72328835046/,"30.267101,59.935841","18-я линия Васильевского острова, 21",4.3
22932021297,https://yandex.ru/maps/org/ozon/22932021297/,"30.277537,59.948136","Малый просп. Васильевского острова, 7",4.5
83383777376,https://yandex.ru/maps/org/ozon/83383777376/,"30.372893,59.937474","Суворовский просп., 26-28",4.0
141494481510,https://yandex.ru/maps/org/ozon/141494481510/,"30.297318,59.951232","ул. Яблочкова, 22/3",4.5
190427189610,https://yandex.ru/maps/org/ozon/190427189610/,"30.292156,59.954368","Большой просп. Петроградской стороны, 10Б",4.6
141439316489,https://yandex.ru/maps/org/ozon/141439316489/,"30.361496,60.045650","просп. Просвещения, 43, Кофейня EN Kop",4.9
81055842500,https://yandex.ru/maps/org/ozon/81055842500/,"30.279918,59.941560","7-я линия Васильевского острова, 40",4.2
1779572472,https://yandex.ru/maps/org/ozon/1779572472/,"30.316132,59.925351","пер. Бринько, 4",3.4
243668942076,https://yandex.ru/maps/org/ozon/243668942076/,"30.306532,59.963276","Подрезова ул., 2",4.4
177574490288,https://yandex.ru/maps/org/ozon/177574490288/,"30.288886,59.943277","Кадетская линия, 7/2",4.1
53828636158,https://yandex.ru/maps/org/ozon/53828636158/,"30.296734,59.918177","Лермонтовский просп., 28",4.6
240997098425,https://yandex.ru/maps/org/ozon/240997098425/,"30.329253,59.915058","Можайская ул., 34, этаж 1",4.6
139009345813,https://yandex.ru/maps/org/ozon/139009345813/,"30.316644,59.903757","Московский просп., 73, корп. 4, домофон 920, этаж 1",4.1
220742670970,https://yandex.ru/maps/org/ozon/220742670970/,"30.291992,59.965965","Левашовский просп., 12",3.6
131760408192,https://yandex.ru/maps/org/ozon/131760408192/,"30.341883,59.957202","Финляндский просп., 4",4.8
42936859933,https://yandex.ru/maps/org/ozon/42936859933/,"30.347818,59.926721","Большая Московская ул., 6В",4.3
74013641534,https://yandex.ru/maps/org/ozon/74013641534/,"30.337794,59.924191","Загородный просп., 36",4.3
60800376071,https://yandex.ru/maps/org/ozon/60800376071/,"30.348037,59.999228","Институтский просп., 11",4.9
134398244199,https://yandex.ru/maps/org/ozon/134398244199/,"30.370144,59.978818","просп. Маршала Блюхера, 7, корп. 3",4.9
78537973613,https://yandex.ru/maps/org/ozon/78537973613/,"30.347034,60.008413","просп. Тореза, 44, корп. 2",4.5
70011132415,https://yandex.ru/maps/org/ozon/70011132415/,"30.380457,59.984435","Богословская ул., 4, корп. 1",4.4
22731099306,https://yandex.ru/maps/org/ozon/22731099306/,"30.398034,60.014915","Гражданский просп., 76, помещение 9-Н",4.9
181261557185,https://yandex.ru/maps/org/ozon/181261557185/,"30.288515,59.960533","Большая Разночинная ул., 19",4.3
53446908292,https://yandex.ru/maps/org/ozon/53446908292/,"30.207532,60.034295","просп. Авиаконструкторов, 63",4.3
219523320578,https://yandex.ru/maps/org/ozon/219523320578/,"30.368292,59.989728","Кушелевская дорога, 6, корп. 1",4.7
39145938304,https://yandex.ru/maps/org/ozon/39145938304/,"30.260633,59.984570","ул. Савушкина, 73, этаж 1",4.5
211626983784,https://yandex.ru/maps/org/ozon/211626983784/,"30.397869,59.972645","Замшина ул., 20",4.9
10903952239,https://yandex.ru/maps/org/ozon/10903952239/,"30.294160,59.999572","Богатырский просп., 4",4.7
24270782278,https://yandex.ru/maps/org/ozon/24270782278/,"30.391588,59.984218","Кондратьевский просп., 68, корп. 4, 1",4.9
109939529383,https://yandex.ru/maps/org/ozon/109939529383/,"30.299906,59.962698","Лахтинская ул., 18",4.5
139063051056,https://yandex.ru/maps/org/ozon/139063051056/,"30.333046,60.000064","просп. Пархоменко, 5",4.7
1356077836,https://yandex.ru/maps/org/ozon/1356077836/,"30.386638,60.015040","просп. Науки, 17, корп. 2, этаж 2",4.2
52131932004,https://yandex.ru/maps/org/ozon/52131932004/,"30.359877,59.999467","2-й Муринский просп., 38, секция 3, этаж 1",4.6
163389486241,https://yandex.ru/maps/org/ozon/163389486241/,"30.351573,59.985706","Кантемировская ул., 35, этаж 1",4.3
31067601752,https://yandex.ru/maps/org/ozon/31067601752/,"30.300527,59.967792","ул. Всеволода Вишневского, 9",4.2
204120742729,https://yandex.ru/maps/org/ozon/204120742729/,"30.304024,59.997405","Коломяжский просп., 9, корп. 2",4.8
52396285866,https://yandex.ru/maps/org/ozon/52396285866/,"30.304978,59.957635","ул. Маркина, 18/7",4.2
197688724652,https://yandex.ru/maps/org/ozon/197688724652/,"30.228774,59.957158","ул. Кораблестроителей, 44, корп. 1",4.8
53084105096,https://yandex.ru/maps/org/ozon/53084105096/,"30.268675,60.020019","Парашютная ул., 27, корп. 2",4.3
224293156036,https://yandex.ru/maps/org/ozon/224293156036/,"30.371361,59.986203","Кушелевская дорога, 1, корп. 2",4.3
111177622525,https://yandex.ru/maps/org/ozon/111177622525/,"30.322543,59.996034","Ланское ш., 69",5.0
170400864646,https://yandex.ru/maps/org/ozon/170400864646/,"30.310381,59.957066","Сытнинская площадь, 4",4.2
235163651054,https://yandex.ru/maps/org/ozon/235163651054/,"30.383976,59.967401","Кондратьевский просп., 23",4.6
72816919273,https://yandex.ru/maps/org/remont_telefonov/72816919273/,"30.344876,59.979620","Лесной просп., 37, корп. 1Б, этаж 1",4.3
1276123110,https://yandex.ru/maps/org/ozon/1276123110/,"30.300854,60.002297","Коломяжский просп., 15, корп. 2, этаж 1",4.4
104805762965,https://yandex.ru/maps/org/ozon/104805762965/,"30.327810,59.955443","Мичуринская ул., 10А",4.4
191803881216,https://yandex.ru/maps/org/ozon/191803881216/,"30.345048,59.960316","Большой Сампсониевский просп., 20",4.4
233515769318,https://yandex.ru/maps/org/ozon/233515769318/,"30.295256,60.006182","аллея Поликарпова, 2",4.5
157146537082,https://yandex.ru/maps/org/ozon/157146537082/,"30.374899,59.980288","просп. Маршала Блюхера, 7, корп. 1",4.6
