,id,link,coordinates,address,stars
0,1276123110,https://yandex.ru/maps/org/ozon/1276123110/,"30.300854,60.002297","Коломяжский просп., 15, корп. 2, этаж 1",4.4
1,1347737832,https://yandex.ru/maps/org/ozon/1347737832/,"30.320252,59.962266","Большая Монетная ул., 16",4.7
2,1356077836,https://yandex.ru/maps/org/ozon/1356077836/,"30.386638,60.015040","просп. Науки, 17, корп. 2, этаж 2",4.2
3,1755157586,https://yandex.ru/maps/org/ozon/1755157586/,"30.293118,59.985540","ул. Савушкина, 20",4.3
4,1779572472,https://yandex.ru/maps/org/ozon/1779572472/,"30.316132,59.925351","пер. Бринько, 4",3.4
5,1804018955,https://yandex.ru/maps/org/ozon/1804018955/,"30.326699,60.037965","просп. Энгельса, 113, корп. 2, этаж 1",4.4
6,2256706611,https://yandex.ru/maps/org/ozon/2256706611/,"30.428355,59.968263","ул. Маршала Тухачевского, 23",4.9
7,2312818922,https://yandex.ru/maps/org/ozon/2312818922/,"30.408463,59.964654","Пискарёвский просп., 10",4.6
8,4502108260,https://yandex.ru/maps/org/ozon/4502108260/,"30.368758,60.041190","просп. Культуры, 12, корп. 1",4.4
9,5194127358,https://yandex.ru/maps/org/ozon/5194127358/,"30.213774,59.956068","Капитанская ул., 5Б",4.7
10,7884396780,https://yandex.ru/maps/org/ozon/7884396780/,"30.354127,59.947577","Захарьевская ул., 15, этаж 1",4.5
11,8902031704,https://yandex.ru/maps/org/ozon/8902031704/,"30.300802,59.988332","наб. Чёрной речки, 10",4.1
12,9395454669,https://yandex.ru/maps/org/ozon/9395454669/,"30.396079,60.040764","просп. Просвещения, 76, корп. 1",4.4
13,10187133882,https://yandex.ru/maps/org/ozon/10187133882/,"30.327166,60.000964","просп. Энгельса, 16, корп. 2, помещение 17-Н",4.6
14,10387718678,https://yandex.ru/maps/org/ozon/10387718678/,"30.343300,60.050700","просп. Просвещения, 33, корп. 1",4.7
15,10903952239,https://yandex.ru/maps/org/ozon/10903952239/,"30.294160,59.999572","Богатырский просп., 4",4.7
16,10920123581,https://yandex.ru/maps/org/ozon/10920123581/,"30.220117,59.959500","Морская наб., 35, корп. 1, этаж 2",4.7
17,11135826610,https://yandex.ru/maps/org/ozon/11135826610/,"30.246525,60.006926","Стародеревенская ул., 34, корп. 2, этаж 1",4.7
18,11730279650,https://yandex.ru/maps/org/ozon/11730279650/,"30.253397,60.013975","Комендантский просп., 21, корп. 1",4.3
19,13682391150,https://yandex.ru/maps/org/ozon/13682391150/,"30.302431,59.955165","ул. Лизы Чайкиной, 17",3.9
20,13851635604,https://yandex.ru/maps/org/ozon/13851635604/,"30.317793,59.928854","Спасский пер., 5",4.0
21,14227586211,https://yandex.ru/maps/org/ozon/14227586211/,"30.367185,59.928921","Гончарная ул., 18",4.1
22,14327665432,https://yandex.ru/maps/org/ozon/14327665432/,"30.300576,59.967778","ул. Всеволода Вишневского, 9",4.3
23,14464083097,https://yandex.ru/maps/org/ozon/14464083097/,"30.459600,59.930600","ул. Латышских Стрелков, 15, корп. 3",4.1
24,14768227809,https://yandex.ru/maps/org/ozon/14768227809/,"30.433026,60.049572","просп. Авиаторов Балтики, 3, корп. 1, Мурино",4.9
